Cage.no,treatment,date,female_d,Tandem/Copula,eggs,larvae,female_sp,con_male,hetero_male,date_j,ferti,th_con,th_het
10,E1T3,6/10/2024,0,0,0,0,EX,1,3,161,NA,0,0
T1,E1T3,6/11/2024,0,0,0,0,EX,1,3,162,NA,0,0
6,E1T3,6/11/2024,0,0,0,0,EX,1,3,162,NA,0,0
T2,E1T3,6/17/2024,0,0,170,141,EX,1,3,168,0.829411765,0,1
A4,E1T3,6/18/2024,0,0,351,172,EX,1,3,169,0.49002849,1,0
B20,E1T3,6/18/2024,0,0,412,86,EX,1,3,169,0.208737864,1,0
90,E1T3,6/20/2024,1,0,0,0,EX,1,3,171,NA,0,0
12,E1T3,6/20/2024,0,0,211,42,EX,1,3,171,0.199052133,1,0
B1,E3T1,6/11/2024,0,0,302,153,EX,3,1,162,0.506622517,0,0
A4,E3T1,6/11/2024,1,0,0,0,EX,3,1,162,NA,0,0
C5,E3T1,6/17/2024,0,0,331,319,EX,3,1,168,0.963746224,1,0
13,E3T1,6/18/2024,1,0,0,0,EX,3,1,169,NA,1,0
C5,E3T1,6/18/2024,1,0,0,0,EX,3,1,169,NA,2,0
8,E3T1,6/20/2024,0,0,0,0,EX,3,1,171,NA,3,0
5A,E3T1,6/20/2024,1,0,0,0,EX,3,1,171,NA,3,1
T3,E1T3,6/5/2025,1,1,0,0,EX,1,3,155,NA,1,1
8,E1T3,6/9/2025,1,0,7,7,EX,1,3,159,1,1,1
T3,E1T3,6/9/2025,1,0,0,0,EX,1,3,159,NA,0,0
29,E1T3,6/11/2025,1,1,327,163,EX,1,3,161,0.498470948,1,1
23,E1T3,6/11/2025,1,0,214,133,EX,1,3,161,0.621495327,0,0
21,E1T3,6/11/2025,1,0,21,8,EX,1,3,161,0.380952381,0,2
24,E1T3,6/19/2025,1,0,307,304,EX,1,3,169,0.990228013,1,1
T1,E1T3,6/19/2025,1,0,0,0,EX,1,3,169,NA,0,2
A4,E1T3,6/26/2025,1,0,0,0,EX,1,3,176,NA,0,0
11,E1T3,6/26/2025,1,0,503,493,EX,1,3,176,0.980119284,1,1
T3,E1T3,6/29/2025,1,0,1,1,EX,1,3,179,1,0,1
19,E1T3,6/29/2025,1,1,0,0,EX,1,3,179,NA,1,1
A1,E1T3,6/30/2025,1,0,404,139,EX,1,3,180,0.344059406,0,1
D2,E1T3,6/30/2025,0,0,376,133,EX,1,3,180,0.353723404,1,2
C29,E1T3,6/30/2025,1,0,293,0,EX,1,3,180,0,1,2
21,E1T3,6/30/2025,1,0,279,105,EX,1,3,180,0.376344086,1,2
T3,E1T3,6/30/2025,1,0,0,0,EX,1,3,180,NA,1,1
T1,E1T3,7/1/2025,1,0,174,156,EX,1,3,181,0.896551724,1,0
D2,E1T3,7/1/2025,1,0,214,171,EX,1,3,181,0.799065421,1,2
30,E3T1,6/5/2025,1,0,486,35,EX,3,1,155,0.072016461,0,0
8,E3T1,6/5/2025,1,1,110,52,EX,3,1,155,0.472727273,1,0
21,E3T1,6/5/2025,1,0,202,47,EX,3,1,155,0.232673267,2,0
21,E3T1,6/9/2025,1,0,0,0,EX,3,1,159,NA,0,1
A1,E3T1,6/9/2025,1,0,248,144,EX,3,1,159,0.580645161,1,0
5A,E3T1,6/9/2025,1,1,294,181,EX,3,1,159,0.615646259,1,0
6,E3T1,6/11/2025,1,1,440,201,EX,3,1,161,0.456818182,2,0
D2,E3T1,6/11/2025,1,1,286,193,EX,3,1,161,0.674825175,2,0
13,E3T1,6/19/2025,0,0,0,0,EX,3,1,169,NA,1,0
C9,E3T1,6/19/2025,1,0,0,0,EX,3,1,169,NA,1,0
C7,E3T1,6/19/2025,1,0,0,0,EX,3,1,169,NA,3,0
C5,E3T1,6/26/2025,0,1,0,0,EX,3,1,176,NA,3,0
31,E3T1,6/26/2025,0,0,0,0,EX,3,1,176,NA,0,0
18,E3T1,6/26/2025,1,0,0,0,EX,3,1,176,NA,3,0
C50,E3T1,6/29/2025,1,0,120,72,EX,3,1,179,0.6,0,0
D2,E3T1,6/29/2025,1,0,0,0,EX,3,1,179,NA,0,0
2,E1T3,5/30/2024,0,0,136,0,TR,3,1,150,0,0,0
1,E1T3,6/10/2024,0,0,0,0,TR,3,1,161,NA,1,0
9,E1T3,6/10/2024,0,0,0,0,TR,3,1,161,NA,0,0
A6,E1T3,6/11/2024,0,0,0,0,TR,3,1,162,NA,0,1
T3,E1T3,6/11/2024,0,0,189,147,TR,3,1,162,0.777777778,2,1
C9,E1T3,6/13/2024,1,0,0,0,TR,3,1,164,NA,3,0
CB,E1T3,6/13/2024,0,0,0,0,TR,3,1,164,NA,0,0
1,E1T3,6/17/2024,1,0,0,0,TR,3,1,168,NA,1,1
19,E1T3,6/17/2024,1,0,0,0,TR,3,1,168,NA,2,1
CB,E1T3,6/18/2024,0,0,0,0,TR,3,1,169,NA,2,0
5,E1T3,6/18/2024,1,0,0,0,TR,3,1,169,NA,1,1
C7,E1T3,6/18/2024,1,0,0,0,TR,3,1,169,NA,1,1
23,E1T3,6/20/2024,1,0,0,0,TR,3,1,171,NA,0,0
9,E1T3,6/20/2024,0,0,279,180,TR,3,1,171,0.64516129,2,0
T3,E1T3,6/20/2024,0,0,0,0,TR,3,1,171,NA,0,0
C10,E1T3,6/20/2024,1,0,0,0,TR,3,1,171,NA,1,1
T1,E3T1,5/28/2024,0,0,276,0,TR,1,3,148,0,0,1
B2,E3T1,6/10/2024,0,0,0,0,TR,1,3,161,NA,1,2
2,E3T1,6/10/2024,0,0,3,0,TR,1,3,161,0,1,1
22,E3T1,6/10/2024,0,0,0,0,TR,1,3,161,NA,0,0
31,E3T1,6/11/2024,1,0,0,0,TR,1,3,162,NA,0,0
C5,E3T1,6/11/2024,1,0,0,0,TR,1,3,162,NA,0,0
23,E3T1,6/13/2024,0,0,196,0,TR,1,3,164,0,2,1
B1,E3T1,6/13/2024,1,0,0,0,TR,1,3,164,NA,0,2
C10,E3T1,6/17/2024,0,0,0,0,TR,1,3,168,NA,0,0
5,E3T1,6/17/2024,0,0,232,211,TR,1,3,168,0.909482759,1,2
B2,E3T1,6/18/2024,1,0,0,0,TR,1,3,169,NA,1,2
B6,E3T1,6/18/2024,0,0,0,0,TR,1,3,169,NA,0,1
T2,E3T1,6/18/2024,1,0,0,0,TR,1,3,169,NA,3,1
B1,E3T1,6/20/2024,1,0,0,0,TR,1,3,171,NA,1,2
D1,E3T1,6/20/2024,1,0,0,0,TR,1,3,171,NA,0,2
19,E3T1,6/20/2024,1,0,0,0,TR,1,3,171,NA,1,0
3,E3T1,6/20/2024,0,0,0,0,TR,1,3,171,NA,2,0
31,E1T3,6/9/2025,1,0,0,0,TR,3,1,159,NA,0,0
C5,E1T3,6/11/2025,1,0,9,9,TR,3,1,161,1,0,0
A1,E1T3,6/19/2025,1,0,0,0,TR,3,1,169,NA,1,1
18,E1T3,6/19/2025,1,0,260,223,TR,3,1,169,0.857692308,0,1
8,E1T3,6/26/2025,0,0,0,0,TR,3,1,176,NA,0,0
19,E1T3,6/26/2025,0,0,0,0,TR,3,1,176,NA,0,1
5A,E1T3,6/26/2025,0,0,0,0,TR,3,1,176,NA,0,0
A1,E1T3,6/26/2025,1,0,0,0,TR,3,1,176,NA,1,1
C5,E1T3,6/29/2025,1,0,191,95,TR,3,1,179,0.497382199,0,0
C50,E1T3,6/30/2025,1,0,0,0,TR,3,1,180,NA,1,2
23,E3T1,5/30/2025,1,0,9,7,TR,1,3,149,0.777777778,0,2
C7,E3T1,6/5/2025,1,0,148,93,TR,1,3,155,0.628378378,0,0
31,E3T1,6/5/2025,1,0,233,132,TR,1,3,155,0.566523605,0,1
T3,E3T1,6/11/2025,1,0,359,258,TR,1,3,161,0.718662953,0,2
35,E3T1,6/19/2025,1,0,0,0,TR,1,3,169,NA,0,3
A4,E3T1,6/19/2025,1,0,0,0,TR,1,3,169,NA,0,2
31,E3T1,6/19/2025,0,0,0,0,TR,1,3,169,NA,0,2
10,E3T1,6/19/2025,1,0,0,0,TR,1,3,169,NA,0,2
35,E3T1,6/30/2025,1,0,0,0,TR,1,3,180,NA,0,2
