Cage.no,sp,date,no_male,eggs,larvae,tand,ferti,female_surv,mat_th,date_j
5,EXS,6/13/2023,4,6,6,,1,0,0,164
13,TRA,6/13/2023,4,0,0,,,1,1,164
12,EXS,6/13/2023,4,0,0,1,,1,2,164
14,TRA,6/13/2023,4,0,0,,,1,0,164
30,TRA,6/13/2023,1,0,0,,,0,0,164
9,TRA,6/13/2023,4,68,24,1,0.352941176,1,2,164
B1,TRA,6/13/2023,4,31,25,,0.806451613,0,2,164
16,TRA,6/13/2023,4,241,176,1,0.730290456,1,1,164
18,EXS,6/13/2023,4,26,9,,0.346153846,1,3,164
35,TRA,6/13/2023,4,0,0,,,1,2,164
31,EXS,6/13/2023,4,0,0,,,1,0,164
A5,EXS,6/13/2023,4,0,0,,,1,0,164
B2,EXS,6/13/2023,4,0,0,,,0,2,164
22,TRA,6/13/2023,1,0,0,,,0,0,164
B20,EXS,6/13/2023,1,146,112,1,0.767123288,1,1,164
21,TRA,6/13/2023,1,256,198,,0.7734375,1,0,164
19,EXS,6/13/2023,4,101,0,1,0,1,1,164
21,TRA,6/14/2023,1,276,231,1,0.836956522,1,1,165
24,TRA,6/14/2023,1,338,302,,0.893491124,1,0,165
14,TRA,6/14/2023,1,130,117,,0.9,1,1,165
6,TRA,6/14/2023,1,223,215,,0.964125561,1,1,165
22,TRA,6/14/2023,1,168,149,,0.886904762,1,0,165
18,TRA,6/14/2023,1,0,0,,,1,0,165
13,EXS,6/14/2023,1,184,79,,0.429347826,1,2,165
1,TRA,6/14/2023,1,243,5,,0.020576132,1,0,165
35,EXS,6/14/2023,1,0,0,,,1,1,165
B20,EXS,6/14/2023,1,0,0,,,1,0,165
5,EXS,6/14/2023,1,141,129,,0.914893617,1,1,165
7,TRA,6/15/2023,4,0,0,,,1,1,166
99,TRA,6/15/2023,1,320,62,,0.19375,1,1,166
3,EXS,6/15/2023,4,158,67,,0.424050633,1,2,166
24,EXS,6/15/2023,1,0,0,,,1,0,166
10,EXS,6/15/2023,4,0,0,1,,1,3,166
9,TRA,6/15/2023,4,434,98,1,0.225806452,1,2,166
11,EXS,6/15/2023,4,0,0,,,1,2,166
4,TRA,6/15/2023,4,0,0,,,0,0,166
8,EXS,6/15/2023,1,0,0,,,1,0,166
2,TRA,6/15/2023,1,314,302,,0.961783439,1,3,166
14,TRA,6/15/2023,1,209,56,,0.267942584,1,2,166
A4,TRA,6/15/2023,1,212,203,,0.95754717,1,0,166
18,EXS,6/19/2023,4,0,0,,,0,4,170
99,TRA,6/19/2023,4,0,0,,,1,1,170
A4,EXS,6/19/2023,1,0,0,,,0,0,170
11,TRA,6/19/2023,1,0,0,,,0,1,170
8,EXS,6/19/2023,4,0,0,,,0,2,170
6,TRA,6/19/2023,4,0,0,,,0,0,170
13,EXS,6/19/2023,4,0,0,,,1,1,170
1,EXS,6/19/2023,4,0,0,,,0,3,170
22,EXS,6/19/2023,1,0,0,,,1,1,170
5,EXS,6/19/2023,1,0,0,,,0,0,170
35,EXS,6/19/2023,1,78,11,,0.141025641,1,1,170
B20,EXS,6/19/2023,1,317,94,,0.296529968,1,1,170
30,TRA,6/20/2023,4,0,0,,,1,0,171
14,TRA,6/20/2023,4,0,0,,,1,1,171
4,TRA,6/20/2023,1,0,0,,,0,0,171
2,TRA,6/20/2023,1,33,17,,0.515151515,1,2,171
9,EXS,6/20/2023,4,0,0,,,0,4,171
10,EXS,6/20/2023,4,0,0,,,1,0,171
B1,TRA,6/20/2023,4,49,43,,0.87755102,0,0,171
B2,EXS,6/20/2023,1,0,0,,,1,1,171
24,EXS,6/21/2023,4,0,0,,,0,0,172
2,EXS,6/21/2023,1,0,0,,,0,0,172
9,TRA,6/21/2023,4,54,0,,0,0,1,172
