Date,Sp,Sex,Stage,Count
5/17/2024,ENEX,F,Teneral,14
5/17/2024,ENEX,M,Teneral,15
5/18/2024,ENEX,F,Teneral,9
5/18/2024,ENEX,M,Teneral,11
6/11/2024,ENEX,M ,Teneral,5
6/11/2024,ENEX,F,Teneral,7
6/17/2024,ENEX,M ,Teneral,2
6/17/2024,ENEX,F,Teneral,4
6/19/2024,ENEX,M ,Teneral,3
6/19/2024,ENEX,F,Teneral,3
6/18/2024,ENEX,M,Teneral,8
6/18/2024,ENEX,F,Teneral,11
6/7/2024,ENEX,F,Teneral,9
6/7/2024,ENEX,M,Teneral,14
5/17/2024,ENTR,F,Teneral,5
5/17/2024,ENTR,M,Teneral,2
6/11/2024,ENTR,M ,Teneral,5
6/11/2024,ENTR,F,Teneral,1
6/9/2024,ENTR,F,Teneral,4
6/9/2024,ENTR,M,Teneral,2
6/5/2024,ENEX,M,Teneral,25
6/5/2024,ENEX,F,Teneral,17
6/5/2024,ENTR,M,Teneral,3
6/5/2024,ENTR,F,Teneral,3
6/9/2024,ENEX,M,Teneral,7
6/9/2024,ENEX,F,Teneral,9
6/7/2024,ENTR,M,Teneral,11
6/7/2024,ENTR,F,Teneral,6
6/8/2024,ENEX,M,Teneral,17
6/8/2024,ENEX,F,Teneral,13
6/8/2024,ENTR,M,Teneral,8
6/8/2024,ENTR,F,Teneral,9
